Issue Description,Issue Type,Service Group
I can't log into my account.,Technical Support,IT Support
I was charged incorrectly.,Billing Inquiry,Billing Department
How do I update my profile information?,Account Management,Customer Service
My internet connection is down.,Technical Support,IT Support
I need a refund for my last purchase.,Billing Inquiry,Billing Department
How can I reset my password?,Technical Support,IT Support
I want to cancel my subscription.,Account Management,Customer Service
I received a damaged product.,Product Issue,Returns Department
Can you help me with my order status?,Order Inquiry,Customer Service
I can't access my billing statements.,Billing Inquiry,Billing Department
How do I change my payment method?,Account Management,Customer Service
My app keeps crashing.,Technical Support,IT Support
I want to update my email address.,Account Management,Customer Service
I have a question about my warranty.,Product Inquiry,Customer Service
Why was my account suspended?,Account Management,Security Team
I need assistance with a software issue.,Technical Support,IT Support
Can I get a copy of my invoice?,Billing Inquiry,Billing Department
I want to provide feedback on a product.,Feedback,Customer Relations
My order was delivered late.,Order Inquiry,Customer Service
I can't find my order confirmation email.,Order Inquiry,Customer Service
How do I apply a discount code?,Billing Inquiry,Billing Department
I need help with my mobile app.,Technical Support,IT Support
Can I change my shipping address?,Order Inquiry,Customer Service
I want to report a bug in the app.,Technical Support,IT Support
How do I unsubscribe from the newsletter?,Account Management,Customer Service
I received the wrong item.,Product Issue,Returns Department
Can I get a status update on my refund?,Billing Inquiry,Billing Department
I want to know more about your services.,General Inquiry,Sales Department
My account is locked.,Account Management,Security Team
I need help with my login credentials.,Technical Support,IT Support
How do I change my password?,Technical Support,IT Support
I want to know if my order has shipped.,Order Inquiry,Customer Service
I have a question about my subscription.,Account Management,Customer Service
I want to report a fraudulent charge.,Billing Inquiry,Fraud Prevention
My device is not working properly.,Technical Support,IT Support
Can I get a refund for a service I didn't use?,Billing Inquiry,Billing Department
I want to change my plan.,Account Management,Customer Service
I need help with my account settings.,Technical Support,IT Support
How do I contact customer support?,General Inquiry,Customer Service
I want to know about your return policy.,Product Inquiry,Customer Service
I can't find my previous tickets.,Technical Support,IT Support
I want to update my payment information.,Account Management,Billing Department
I need assistance with a billing issue.,Billing Inquiry,Billing Department
My app is not syncing.,Technical Support,IT Support
I want to know if you have a loyalty program.,General Inquiry,Sales Department
I need help with my account verification.,Account Management,Security Team
I want to report a service outage.,Technical Support,IT Support
How do I redeem my gift card?,Billing Inquiry,Billing Department
I want to know about your privacy policy.,General Inquiry,Customer Service
I need help with my order cancellation.,Order Inquiry,Customer Service
I want to know if you offer international shipping.,General Inquiry,Sales Department
I have a question about my service agreement.,Account Management,Customer Service
I want to know how to use a product.,Product Inquiry,Customer Service
I need help with my account recovery.,Account Management,Security Team
I want to know about your referral program.,General Inquiry,Sales Department
I have a question about my bill.,Billing Inquiry,Billing Department
I want to know how to contact support.,General Inquiry,Customer Service
I need help with my subscription renewal.,Account Management,Customer Service
I want to know about your customer satisfaction policy.,General Inquiry,Customer Service
I have a question about my data usage.,Technical Support,IT Support
I want to know how to escalate an issue.,General Inquiry,Customer Service
I need help with my account settings.,Technical Support,IT Support
I want to know about your service levels.,General Inquiry,Customer Service
I have a question about my payment history.,Billing Inquiry,Billing Department
I want to know how to change my username.,Account Management,Customer Service
I need help with my account security.,Account Management,Security Team
I want to know about your customer support hours.,General Inquiry,Customer Service
I have a question about my service features.,Product Inquiry,Customer Service
I want to know how to submit a complaint.,General Inquiry,Customer Service
